Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,common_name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ena_first_public,ENA-LAST-UPDATE (run),ena_last_update,Experiment,external_id,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,Sample_name,Scientific_Name,SRA Study,Submitter_Id,Library Name
ERR10848947,RNA-Seq,302,11213981478,PRJEB57288,SAMEA111552011,4748740956,INCLIVA HEALTH RESEARCH INSTITUTE,human,public,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",2023-03-07,2023-03-07,2023-03-07,2023-03-07,ERX10293988,SAMEA111552011,INCLIVA Health Research Institute,incliva health research institute,2023-03-07T00:41:50Z,2023-03-07T00:41:50Z,public,Illumina MiSeq,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-03-08T00:00:00Z,2023-03-10T21:55:00Z,1,SAMEA111552011,mCTO43,Homo sapiens,ERP142256,mCTO43,
ERR10849169,RNA-Seq,302,11133127018,PRJEB57288,SAMEA111552011,4700708115,INCLIVA HEALTH RESEARCH INSTITUTE,human,public,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",2023-03-07,2023-03-07,2023-03-07,2023-03-07,ERX10294264,SAMEA111552011,INCLIVA Health Research Institute,incliva health research institute,2023-03-07T00:41:50Z,2023-03-07T00:41:50Z,public,Illumina MiSeq,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-03-08T00:00:00Z,2023-03-10T21:54:00Z,1,SAMEA111552011,mCTO43,Homo sapiens,ERP142256,mCTO43,
ERR10849227,RNA-Seq,302,12288972826,PRJEB57288,SAMEA111552013,5219709536,INCLIVA HEALTH RESEARCH INSTITUTE,human,public,"run.zq,sra,fastq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2023-03-07,2023-03-07,2023-03-07,2023-03-07,ERX10294322,SAMEA111552013,INCLIVA Health Research Institute,incliva health research institute,2023-03-07T00:41:50Z,2023-03-07T00:41:50Z,public,Illumina MiSeq,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-03-08T00:00:00Z,2023-03-10T22:48:00Z,1,SAMEA111552013,mCTO47,Homo sapiens,ERP142256,mCTO47,
ERR10849266,RNA-Seq,302,14336175560,PRJEB57288,SAMEA111552013,6050894095,INCLIVA HEALTH RESEARCH INSTITUTE,human,public,"sra,run.zq,fastq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",2023-03-07,2023-03-07,2023-03-07,2023-03-07,ERX10294361,SAMEA111552013,INCLIVA Health Research Institute,incliva health research institute,2023-03-07T00:41:50Z,2023-03-07T00:41:50Z,public,Illumina MiSeq,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-03-08T00:00:00Z,2023-03-10T22:34:00Z,1,SAMEA111552013,mCTO47,Homo sapiens,ERP142256,mCTO47,
ERR10849292,RNA-Seq,302,13207579212,PRJEB57288,SAMEA111552013,5573739507,INCLIVA HEALTH RESEARCH INSTITUTE,human,public,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",2023-03-07,2023-03-07,2023-03-07,2023-03-07,ERX10294387,SAMEA111552013,INCLIVA Health Research Institute,incliva health research institute,2023-03-07T00:41:50Z,2023-03-07T00:41:50Z,public,Illumina MiSeq,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-03-08T00:00:00Z,2023-03-10T22:40:00Z,1,SAMEA111552013,mCTO47,Homo sapiens,ERP142256,mCTO47,
ERR10849327,RNA-Seq,302,13838564724,PRJEB57288,SAMEA111552015,5536738518,INCLIVA HEALTH RESEARCH INSTITUTE,human,public,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",2023-03-07,2023-03-07,2023-03-07,2023-03-07,ERX10294422,SAMEA111552015,INCLIVA Health Research Institute,incliva health research institute,2023-03-07T00:41:50Z,2023-03-07T00:41:50Z,public,Illumina MiSeq,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-03-08T00:00:00Z,2023-03-10T22:42:00Z,1,SAMEA111552015,mCTO50B,Homo sapiens,ERP142256,mCTO50B,
ERR10849360,RNA-Seq,302,12942091012,PRJEB57288,SAMEA111552015,5199381667,INCLIVA HEALTH RESEARCH INSTITUTE,human,public,"run.zq,sra,fastq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",2023-03-07,2023-03-07,2023-03-07,2023-03-07,ERX10294455,SAMEA111552015,INCLIVA Health Research Institute,incliva health research institute,2023-03-07T00:41:50Z,2023-03-07T00:41:50Z,public,Illumina MiSeq,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-03-08T00:00:00Z,2023-03-10T22:43:00Z,1,SAMEA111552015,mCTO50B,Homo sapiens,ERP142256,mCTO50B,
ERR10849384,RNA-Seq,302,8923443452,PRJEB57288,SAMEA111552015,3569952895,INCLIVA HEALTH RESEARCH INSTITUTE,human,public,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",2023-03-07,2023-03-07,2023-03-07,2023-03-07,ERX10294479,SAMEA111552015,INCLIVA Health Research Institute,incliva health research institute,2023-03-07T00:41:50Z,2023-03-07T00:41:50Z,public,Illumina MiSeq,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-03-08T00:00:00Z,2023-03-10T21:50:00Z,1,SAMEA111552015,mCTO50B,Homo sapiens,ERP142256,mCTO50B,
ERR10849422,RNA-Seq,302,13682650278,PRJEB57288,SAMEA111552014,5496727952,INCLIVA HEALTH RESEARCH INSTITUTE,human,public,"fastq,sra,run.zq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",2023-03-07,2023-03-07,2023-03-07,2023-03-07,ERX10294517,SAMEA111552014,INCLIVA Health Research Institute,incliva health research institute,2023-03-07T00:41:50Z,2023-03-07T00:41:50Z,public,Illumina MiSeq,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-03-08T00:00:00Z,2023-03-10T21:46:00Z,1,SAMEA111552014,mCTO50,Homo sapiens,ERP142256,mCTO50,
ERR10849455,RNA-Seq,302,11207199162,PRJEB57288,SAMEA111552014,4501239376,INCLIVA HEALTH RESEARCH INSTITUTE,human,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",2023-03-07,2023-03-07,2023-03-07,2023-03-07,ERX10294550,SAMEA111552014,INCLIVA Health Research Institute,incliva health research institute,2023-03-07T00:41:50Z,2023-03-07T00:41:50Z,public,Illumina MiSeq,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-03-08T00:00:00Z,2023-03-10T22:44:00Z,1,SAMEA111552014,mCTO50,Homo sapiens,ERP142256,mCTO50,
