	Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes
0	prerank	Airway Goblet Cells	0.7835450789994092	3.3596903020971647	0.0	0.0	0.0	61/103	6.22%	PIGR;LCN2;PRR15;CAPN8;SCNN1A;TSPAN8;SDR16C5;GPX2;SFN;CAPN13;KRT15;SLC6A14;WFDC2;SMIM22;GALNT6;PLEKHS1;TMC5;TACSTD2;ITGB6;AGR2;SCNN1B;SERPINB5;CEACAM5;CEACAM1;EHF;ELF3;CXCL17;SPDEF;LAD1;FUT2;TMEM61;TMPRSS4;BICDL2;TSPAN1;TMEM184A;B3GNT3;CBLC;DUSP4;PKP3;MUC5B;TJP3;FXYD3;CEACAM6;CLDN3;LIPH;MUC1;EPN3;AQP5;TFF3;KRT19;MISP;MSMB;KLF5;FAM83E;AP1M2;RAB25;EPCAM;CLDN4;TMC4;NECTIN4;TMPRSS2
1	prerank	Sebocytes	0.7017289877563079	3.2231509112868757	0.0	0.0	0.0	62/114	5.60%	CXCL1;LCN2;ANKRD22;SCNN1A;CRH;CYP24A1;AQP3;SDR16C5;SFN;SERPINA1;TGFA;KRT7;TMEM45B;ZMYND15;TACSTD2;PRRG4;AGR2;SERPINB5;LRG1;EHF;ELF3;FFAR2;FGFBP1;HCAR3;CXCL16;HCAR2;LAD1;S100A11;BICDL2;PLEKHG6;VAMP8;B3GNT3;CBLC;ST6GALNAC2;PDZK1IP1;TJP3;CEACAM6;BCL3;ABCC3;MAPK13;MUC1;TCN1;LY6D;SPINT1;RDH12;LAMB3;COL17A1;ST14;SECTM1;CALCA;OVOL1;P2RY2;KLF5;GJB2;FBP1;AP1M2;RAB25;CEBPD;CLDN4;VDR;LGALS3;LLGL2
2	prerank	Trophoblast Cells	0.713115189840582	3.067385005100875	0.0	0.0	0.0	62/114	8.90%	CXCL1;CCL20;LCN2;TNFRSF9;AREG;SCNN1A;S100A2;CYP24A1;GPR87;SFN;KRT15;KRT80;SLC6A14;LIF;KRT7;TACSTD2;KRT17;ZC3H12A;PRRG4;ITGB6;SERPINB5;BHLHE40;ELF3;FGFBP1;KLK10;SCEL;IL36RN;LAD1;S100A11;BICDL2;PLEKHG6;TMEM184A;CST6;B3GNT3;GPRC5A;PKP3;ADGRF4;EREG;ABCC3;CDCP1;LY6D;ANXA2;LAMB3;COL17A1;TFEB;ASCL2;OVOL1;KLF5;PERP;SH2D3A;CLDN4;VDR;LGALS3;PPP1R13L;NECTIN4;NFKBIZ;SMAGP;IL18;ELF5;PTHLH;NIPAL1;CHMP4C
3	prerank	Ductal Cells	0.6849376177735598	3.0645680107298734	0.0	0.0	0.0	72/118	12.81%	MLPH;MMP7;CXCL2;PIGR;PRR15;C3;CLDN1;SCNN1A;TSPAN8;SERPINA3;GPX2;GDF15;GSTA1;CTSH;KRT7;WFDC2;TACSTD2;VTCN1;ITGB6;AGR2;CLDN10;EHF;ELF3;AMBP;ADH1C;KRT18;LAD1;KRT8;TMEM61;TSPAN1;GOLT1A;CCL2;SERINC2;TMEM184A;B3GNT3;CBLC;AKR1B10;PKP3;FXYD3;RAB17;CLDN3;MUC1;TFF3;KRT19;AKR1C3;LAMB3;MISP;RNF128;IL22RA1;EPCAM;PERP;CLDN4;UGT1A6;RHOD;TMPRSS2;SDC1;EPS8L2;ARHGEF16;MAL2;AZGP1;PRR15L;CLDN2;ACE2;MYH14;BTC;AGR3;PRSS8;TM4SF1;MYO5B;S100A16;CDH1;ANXA4
4	prerank	Cholangiocytes	0.6844020017103828	3.0438231349919844	0.0	0.0	0.0	75/122	12.80%	CXCL6;CXCL1;MMP7;PIGR;LCN2;PRR15;CAPN8;SCNN1A;TSPAN8;GPX2;CAPN13;GSTA1;KRT7;WFDC2;SMIM22;ALB;TACSTD2;ITGB6;AGR2;CEACAM5;EHF;ELF3;SCTR;ADH1C;LAD1;KRT8;TMEM61;BICDL2;TSPAN1;GOLT1A;B3GNT3;CBLC;MUC5B;TJP3;FXYD3;CD24;CEACAM6;RAB17;CLDN3;TFF3;KRT19;KLHDC7A;MISP;ST14;ENTPD8;OVOL1;AP1M2;IL22RA1;RAB25;EPCAM;CLDN4;UGT1A6;GGT1;TMC4;TMPRSS2;CRB3;EPS8L2;ITGB4;ARHGEF16;MAL2;SCGB3A1;AZGP1;ALPL;PRR15L;TMEM30B;ACE2;MYH14;BTC;ATP2C2;OVOL2;AGR3;PRSS8;MYO5B;ESRP1;CDH1
5	prerank	Luminal Epithelial Cells	0.6941015906978545	2.9460348347204737	0.0	0.0	0.0	83/129	12.80%	MLPH;LCN2;PRR15;CLDN1;AREG;SCNN1A;AQP3;SDR16C5;SFN;CAPN13;KRT15;SERPINA1;SLC6A14;KRT7;SAA2;WFDC2;TACSTD2;ITGB6;AGR2;SCNN1B;SERPINB5;EHF;ELF3;FGFBP1;SPDEF;KRT18;LAD1;KRT8;TMEM61;BICDL2;TSPAN1;CD9;TMEM184A;B3GNT3;CBLC;PKP3;FXYD3;CEACAM6;CLDN3;MUC1;RUNX1;ALDH3B2;EPN3;AQP5;TFF3;KRT19;CD74;LAMB3;MISP;ST14;ANKRD30A;OVOL1;KLF5;AP1M2;RAB25;EPCAM;PERP;CEBPD;CLDN4;UGT1A6;IL20RA;RHOD;TMC4;NECTIN4;TMPRSS2;CRB3;EPS8L2;ITGB4;ARHGEF16;MAL2;LTF;PRR15L;TMEM30B;BTC;ATP2C2;OVOL2;HMGA1;AGR3;PRSS8;PROM1;MYO5B;ESRP1;CDH1
6	prerank	Trichocytes	0.7172354006737293	2.922039700117499	0.0	0.0	0.0	49/88	8.90%	S100A2;GPR87;SFN;GRHL3;KRT15;KRT80;KRT7;MCIDAS;KRT17;RHOV;PAX9;SERPINB5;FGFBP1;CCNO;DKK1;KRT18;LAD1;KRT8;ABCA12;TSPAN1;TMEM184A;B3GNT3;GPRC5A;PKP3;ADGRF4;EPN3;KRT19;LAMB3;MISP;FERMT1;KLF5;AP1M2;IL22RA1;PERP;ALOXE3;CLDN4;TFAP2C;RHOD;PPP1R13L;BAIAP2L1;SDC1;EPS8L2;ITGB4;ARHGEF16;LRRC8E;DMKN;TMEM54;IGFL1;CHMP4C
7	prerank	Foveolar Cells	0.6998060014625959	2.9091001326786023	0.0	0.0	0.0	57/95	11.68%	MLPH;ANXA10;PIGR;PRR15;CAPN8;SCNN1A;TSPAN8;LRRC31;SPINK1;PGC;GPX2;GSTA1;SMIM22;GCNT3;ITGB6;AGR2;CEACAM5;EHF;ELF3;ADH1C;LAD1;KRT8;ARL14;TSPAN1;TMEM184A;B3GNT3;CBLC;GPRC5A;AKR1B10;FXYD3;CEACAM6;PPP1R14D;CLDN3;ABCC3;LIPH;MUC1;TFF3;KRT19;LAMB3;MISP;FAM83E;IL22RA1;CLDN4;UGT1A6;RNF186;TMPRSS2;HNF4A;GSTA2;ALDH3A1;GKN2;PRR15L;CLDN2;ACE2;BTC;CTSE;AGR3;PLA2G1B
8	prerank	Microfold Cells	0.6565154494039257	2.900644203866659	0.0	0.0	0.0	69/119	15.49%	CXCL1;CCL20;CXCL8;LCN2;ANKRD22;IFI30;SERPINA1;ICAM1;CTSH;ZMYND15;TACSTD2;ZC3H12A;EHF;BHLHE40;CXCL16;MVP;LAD1;RELB;S100A11;OAS1;B3GNT3;TYMP;CEACAM6;SAT1;RAC2;BCL3;ABCC3;MAPK13;CTSB;CYBA;SPINT1;LAMB3;SYNGR2;ST14;SECTM1;CTSD;KLF5;GJB2;NFKBIA;FBP1;CAPG;CEBPD;VDR;LGALS3;GRN;TMPRSS2;EHD4;UNC93B1;LRP10;SCAMP2;ANXA11;MFGE8;TMBIM1;TNFAIP2;RBM47;IER3;ANXA4;DTX3L;IFIH1;SLC8B1;CTSZ;RHBDF2;FAM3D;ZBTB7B;IRF6;LTBR;TICAM1;B4GALT1;TNIP1
9	prerank	Goblet Cells	0.6843118467291912	2.8895648974506902	0.0	0.0	0.0	49/101	6.80%	PIGR;PRR15;CAPN8;ISX;SCNN1A;TSPAN8;LRRC31;AQP3;GPX2;CAPN13;KRT7;SMIM22;AGR2;CEACAM5;EHF;ELF3;SPDEF;ADH1C;MEP1A;LAD1;KRT8;ARL14;BICDL2;TSPAN1;B3GNT3;CBLC;PKP3;MUC5B;TJP3;FXYD3;CEACAM6;PPP1R14D;CLDN3;ITLN1;TFF3;KRT19;CREB3L1;MISP;ENTPD8;RETNLB;FAM83E;IL22RA1;RAB25;EPCAM;CLDN4;RNF186;TMC4;TMPRSS2;MANF
10	prerank	Mammary Epithelial Cells	0.6659206547099322	2.849135626859075	0.0	0.0	0.0	58/120	7.58%	PRR15;CLDN1;SCNN1A;SFN;KRT15;KRT80;LIF;KRT7;SH3RF2;TACSTD2;KRT17;ITGB6;AGR2;SERPINB5;EHF;ELF3;FGFBP1;SCEL;KRT18;LAD1;KRT8;TMEM61;BICDL2;TSPAN1;SERINC2;TOX3;TMEM184A;B3GNT3;CBLC;PKP3;ADGRF4;FXYD3;CLDN3;EPN3;KRT19;LAMB3;COL17A1;MISP;LSR;CITED1;OVOL1;KLF5;AP1M2;IL22RA1;RAB25;EPCAM;PERP;CLDN4;UGT1A6;RHOD;PPP1R13L;NECTIN4;BAIAP2L1;SDC1;EPS8L2;ITGB4;ARHGEF16;MAL2
11	prerank	Keratinocytes	0.6516311122858262	2.78756302597521	0.0	0.0	0.0	39/94	6.19%	CXCL1;LCN2;S100A2;AQP3;SDR16C5;GPR87;SFN;GRHL3;KRT15;KRT80;ICAM1;KRT7;TACSTD2;KRT17;SERPINB5;EHF;FGFBP1;SCEL;LAD1;CCL2;CST6;B3GNT3;CBLC;PKP3;ADGRF4;FXYD3;CD24;ALDH3B2;CALML3;LY6D;LAMB3;COL17A1;PGLYRP3;OVOL1;KLF5;IL22RA1;PERP;PPP1R13L;NECTIN4
12	prerank	Urothelial Cells	0.6393127731638149	2.7455054456378942	0.0	0.0	0.0	62/94	17.49%	SCNN1A;AQP3;TACSTD2;ZC3H12A;PRRG4;TMEM238;RNF223;BICDL2;VAMP8;TMEM184A;TJP3;BCL3;ANO9;SYTL1;ALDH3B2;PLEKHN1;SPINT1;STXBP2;TMEM265;SYNGR2;ABHD11;ST14;RASSF7;P2RY2;OR7E91P;SH2D3A;LLGL2;FBXL8;TMC4;NECTIN4;CRB3;CAPN1;ARRDC1;MPZL3;RABEP2;NAT1;TMPRSS13;UNC93B1;LRP10;SCAMP2;TRADD;ANXA11;SIRT7;AP1G2;DENND1C;DENND2D;PRICKLE3;POLD4;RHBDF2;PSCA;NADSYN1;SULT2B1;ZBTB42;ZBTB7B;IRF3;CDC42BPG;TMEM79;ELMO3;RPS6KB2;EPS8L1;PRKCD;KRT13
13	prerank	Clara Cells	0.6439666842470158	2.7426188372262215	0.0	0.0	0.0	49/102	7.89%	PIGR;LCN2;CAPN8;CYP2B7P;SCNN1A;SDR16C5;CAPN13;ST6GALNAC1;SLC6A14;WFDC2;SMIM22;PLEKHS1;TMC5;TACSTD2;ITGB6;AGR2;SCNN1B;CEACAM5;EHF;ELF3;CXCL17;SCEL;SCGB3A2;TMPRSS4;BICDL2;TSPAN1;B3GNT3;MUC5B;PDZK1IP1;FXYD3;CEACAM6;CD164L2;MUC1;AQP5;TFF3;ST14;ALDH1A1;MSMB;SFTPA2;FAM83E;RAB25;ADH7;TFCP2L1;TMC4;TMPRSS2;STEAP4;ITGB4;SCGB3A1;BPIFB1
14	prerank	Pulmonary Vascular Smooth Muscle Cells	-0.8635826339440587	-2.716509047229466	0.0	0.0	0.0	82/96	10.56%	TEK;NID2;HSPB6;ANGPT1;ELN;ADGRA2;MYLK;AQP1;CXCL12;LAMA4;ADAM33;FBLN2;ACTA2;PDGFRB;LDB2;HTRA3;POSTN;CPED1;SVEP1;DCN;COL4A1;SSC5D;LAMA2;ADAMTS12;ABCA8;DDR2;CNRIP1;CNN1;FBN1;PDGFRA;HSPB2;ADAMTS5;ZNF521;PCDH18;COL6A3;EMILIN1;ADGRL4;MFAP4;ADAMTS2;SGCD;FAT4;COL15A1;HSPB7;DAAM2;DPT;COL5A2;COL14A1;COL6A2;CRYAB;COL5A1;LMOD1;BGN;ADAMTSL1;VSTM4;CYBRD1;CD248;GNG11;FIBIN;COL1A2;MRGPRF;MSRB3;CDH11;SPARC;MMP2;FMOD;TAGLN;CCDC80;PAMR1;THBS2;ZCCHC24;OLFML3;LUM;PRKG1;THY1;COL3A1;AEBP1;MYL9;DAB2;SERPING1;PCOLCE;TNS1;FSTL1
15	prerank	Airway Smooth Muscle Cells	-0.8582236999097489	-2.7026023663974628	0.0	0.0	0.0	81/98	9.92%	PTH1R;ITGA8;NID2;TCF21;HSPB6;GATA5;BMPER;ADGRA2;DES;CXCL12;LAMA4;WNT2;MYOCD;ACTA2;PDGFRB;HTRA3;POSTN;GLI2;JPH2;FNDC1;DCN;FOXF2;IGF2;COL4A1;FOXF1;FLNC;COL13A1;TBX2;NID1;HAND2;CNN1;FBN1;PDGFRA;FOXL1;PCDH18;COL6A3;SNAI2;EMILIN1;ADGRL4;MFAP4;ADAMTS2;ACTG2;SRPX;GDF6;COL4A2;COL5A2;COL6A2;COL5A1;LMOD1;PLAT;BGN;ADAMTSL1;TIMP3;LIMS2;EHD2;PMP22;EDNRA;GNG11;FOXC2;FIBIN;COL1A2;MRGPRF;MSRB3;CDH11;SYDE1;MMP2;MRC2;TAGLN;TPM2;GLT8D2;VEGFC;TGFB1I1;LUM;RSPO3;LOXL2;COL3A1;LOXL1;COL6A1;MYL9;LOX;PCOLCE
16	prerank	Basal Cells	0.6034365129835589	2.679776867729893	0.0	0.0	0.0	62/131	9.54%	MMP7;CLDN1;PLAU;S100A2;SFN;KRT15;KRT80;KRT7;SH3RF2;TNFRSF12A;TACSTD2;KRT17;ITGB6;SERPINB5;EHF;FGFBP1;TP63;SCEL;LAD1;S100A11;TSPAN1;CD9;SERINC2;CST6;B3GNT3;CBLC;TYMP;PKP3;ADGRF4;FXYD3;CDCP1;PLEKHN1;OPTN;KRT19;LY6D;ANXA2;LAMB3;COL17A1;KLF5;GJB2;IL22RA1;PERP;CLDN4;CDH3;A4GALT;LGALS3;RHOD;CD151;DPP7;PPP1R13L;SDC1;CAPN1;TAX1BP3;EPS8L2;ITGB4;DUSP23;CD59;LMNA;TMEM54;PLP2;ANXA11;S100A3
