	Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes
0	prerank	Complement and coagulation cascades	-0.8485924723611608	-1.8800236674141642	0.0	1e-300	0.0	61/73	11.78%	FGB;FGG;FGA;CFHR1;SERPINC1;PLG;VTN;F9;VSIG4;C8B;CFHR3;C8A;C6;VWF;KNG1;SERPING1;C1QA;C1QB;C9;THBD;C1S;C4BPA;F2;MBL2;CPB2;C1QC;CFI;C3AR1;CFH;F11;C7;C3;F2RL3;KLKB1;SERPIND1;SERPINE1;F2RL2;C8G;SERPINF2;C5AR1;C4BPB;CLU;SERPINA1;ITGAX;PLAT;F5;CR1;A2M;PROC;ITGAM;F13A1;MASP2;SERPINA5;F2R;F8;C5;F7;ITGB2;F12;TFPI;PROS1
2	prerank	Staphylococcus aureus infection	-0.8259910187127661	-1.8100022759419911	0.0	1e-300	0.0	33/44	10.89%	FGG;PLG;C1QA;C1QB;C1S;MBL2;FCGR3A;C1QC;FCGR3B;CFI;C3AR1;CFH;C3;SELP;FPR1;FCGR2B;FPR2;C5AR1;SELPLG;ITGAL;HLA-DQA1;DEFB1;IL10;ITGAM;MASP2;FCGR1A;KRT17;C5;FCGR2A;ITGB2;HLA-DRB5;ICAM1;DSG1
4	prerank	Malaria	-0.8004781777488225	-1.7258041414081	0.0	1e-300	0.0	33/42	16.70%	ACKR1;SELE;IL6;VCAM1;GYPC;PECAM1;CCL2;COMP;HGF;CD36;SELP;CSF3;KLRB1;CD40LG;ITGAL;SDC2;CR1;CXCL8;THBS1;IL10;IL1B;HBA2;HBB;TLR4;HBA1;ITGB2;ICAM1;THBS2;TGFB3;TGFB2;TLR9;TGFB1;TLR2
5	prerank	Hematopoietic cell lineage	-0.755750049331752	-1.7000645806863004	0.0	1e-300	0.0	45/69	14.92%	IL6;IL7R;CD34;CD1C;CD2;CD3E;CD3D;CD14;CD36;CSF3R;CD4;CSF3;CSF1R;ITGA4;CD1E;IL1R1;ITGB3;IL2RA;ITGA1;MS4A1;HLA-DQA1;CD3G;CD5;CR1;CD37;ITGAM;CD1D;CD8A;CD38;IL1B;FCGR1A;ITGA5;FLT3;HLA-DRB5;IL7;CD22;CSF1;CD7;IL6R;THPO;IL1A;CD8B2;FLT3LG;CD33;CD8B
6	prerank	Viral protein interaction with cytokine and cytokine receptor	-0.7601610099349775	-1.6977852880945028	0.0	1e-300	0.0	51/74	15.85%	CCL21;CCL19;IL6;CXCL12;CXCL6;CCL13;CCL2;CXCL9;CCL8;CCL17;CCR5;CXCL13;CSF1R;TNFSF14;IL18RAP;CXCR4;CXCL2;CCR2;IL2RA;IL2RB;CCL11;IL10RA;CCR7;CCL22;IL24;CCR4;XCL2;CXCL8;PPBP;IL10;CXCL10;CXCR2;CXCR1;CCR1;CXCL1;IL34;IL18R1;XCR1;CXCL14;ACKR3;CSF1;CCL28;CXCL5;IL6R;CX3CR1;IL6ST;CXCL3;CCL25;TNFRSF10C;CX3CL1;PF4
42	prerank	Base excision repair	0.4127950902131064	1.5189414203832863	0.06060606060606061	0.15833842394624312	0.142	19/31	38.80%	NEIL2;PARP4;NEIL3;MUTYH;LIG3;PARP1;POLD1;POLD2;UNG;POLL;POLB;POLE;POLD3;OGG1;APEX2;SMUG1;MPG;NEIL1;TDG
23	prerank	mRNA surveillance pathway	0.3195887609624743	1.5816868540991782	0.0	0.13927916921197314	0.099	35/83	30.21%	BCL2L2-PABPN1;PPP2R2C;PABPC1L;PPP2R5D;MSI2;CSTF1;CPSF4;PABPC3;SMG1;NCBP2;PPP2R5C;SMG5;CSTF2;PCF11;PABPC1;RNMT;CLP1;CPSF6;FIP1L1;PYM1;PPP2R5B;PPP1CC;CSTF3;GSPT2;RNPS1;ACIN1;DDX19A;PPP2R2A;SMG6;PNN;PAPOLG;PABPN1;PPP2R2D;HBS1L;GLE1
7	prerank	Homologous recombination	0.42350452780362186	1.6808386583185306	0.0	0.1140297291793932	0.066	21/39	31.81%	EME1;RAD54B;RAD54L;ABRAXAS1;XRCC2;TOP3B;PALB2;XRCC3;POLD1;POLD2;RAD52;TOPBP1;UIMC1;BRCC3;BARD1;MRE11;RAD50;RAD51B;BRIP1;POLD3;RPA1
3	prerank	Steroid biosynthesis	0.5266161965717944	1.7281691087168616	0.022222222222222223	0.11973121563836285	0.048	14/19	17.71%	LSS;DHCR7;CEL;FDFT1;SQLE;CYP51A1;SC5D;TM7SF2;MSMO1;LBR;DHCR24;HSD17B7;EBP;CYP2R1
1	prerank	Basal transcription factors	0.4905360581630101	1.835124980645282	0.0	0.12217470983506415	0.024	18/35	31.10%	GTF2H2C;TAF4;GTF2IRD1;TAF6;ERCC2;TAF2;GTF2I;TAF7;GTF2H3;GTF2H2;ERCC3;TAF8;TAF5;TAF1;TAF5L;TAF6L;TAF4B;GTF2E1
