	Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes
0	prerank	Phototransduction	-0.923197177752854	-2.693144243704834	0.0	1e-300	0.0	17/22	2.79%	Rcvrn;Gnat1;Sag;Pde6b;Rho;Gngt1;Pde6g;Cnga1;Pde6a;Cngb1;Grk1;Guca1a;Gnat2;Guca1b;Slc24a1;Calml4;Gucy2f
1	prerank	Synaptic vesicle cycle	-0.6931829483098053	-2.5664876077361565	0.0	1e-300	0.0	37/62	18.39%	Slc17a7;Slc1a7;Cplx3;Cplx4;Cltb;Rab3a;Dnm3;Syt1;Unc13c;Slc6a11;Slc6a2;Cplx1;Vamp2;Slc6a13;Stx3;Stxbp1;Dnm1;Atp6v1g2;Atp6v0e2;Slc32a1;Unc13a;Snap25;Atp6v0a1;Nsf;Slc1a2;Ap2m1;Atp6v0b;Slc6a9;Slc1a1;Atp6v0d1;Napa;Atp6v0c;Atp6v1e1;Atp6v1b2;Atp6v1f;Ap2a2;Ap2s1
3	prerank	GABAergic synapse	-0.5890472147588739	-2.283719073983879	0.0	1e-300	0.0	35/80	15.77%	Gabrr1;Gnb3;Gngt1;Cacna1f;Gabrr2;Adcy8;Cacna1s;Gngt2;Gabrr3;Gng13;Slc12a5;Prkca;Gabrd;Gabra1;Slc38a3;Adcy2;Slc6a11;Gnb5;Gabrg2;Slc6a13;Gng3;Cacna1d;Slc32a1;Adcy9;Gad1;Nsf;Gabbr2;Gnao1;Hap1;Adcy1;Trak2;Kcnj6;Gabbr1;Gabarapl1;Adcy5
5	prerank	Insulin secretion	-0.5795379437531014	-2.1743501309656406	0.0	0.0002474510808247908	0.001	25/69	11.59%	Cacna1f;Atp1a3;Adcy8;Cacna1s;Atp1b2;Rab3a;Camk2b;Cck;Prkca;Kcnma1;Chrm3;Adcy2;Vamp2;Kcnmb2;Abcc8;Cacna1d;Ryr2;Rapgef4;Kcnu1;Snap25;Adcy9;Gck;Creb3;Adcy1;Kcnn1
6	prerank	Neuroactive ligand-receptor interaction	-0.5074045748444678	-2.1520678722154307	0.0	0.00019796086465983262	0.001	57/142	10.71%	Grm6;Gabrr1;Chrna6;Gabrr2;Grik1;Drd4;Drd1;Glra1;Glp2r;Grm5;Gabrr3;Drd2;Gria2;Adrb1;Edn2;Cck;Grm7;Chrnb3;S1pr5;Hcrtr1;Gabrd;Chrm3;Sct;Gabra1;Ptger3;Agt;Cckbr;Grid2;Gabrg2;Chrm2;Gria1;Htr1d;Chrna5;Gal;Kiss1r;Grin1;Mc1r;Tacr3;C3;Thra;Chrnb2;Sstr3;Chrnb4;Grm8;P2rx5;Adora1;Chrna3;Grp;Vipr2;Grin2b;Grik3;Gabbr2;Thrb;Crhr1;Ntsr1;Adra2c;Nr3c1
10	prerank	MicroRNAs in cancer	0.4923240831762676	2.1138127269317364	0.0	0.00040416316321267317	0.002	82/150	29.04%	Ccnd2;Hmga2;Trim71;Igf2bp1;Kif23;Thbs1;Mir335;Notch3;Brca1;Mir16-1;Cdca5;Erbb2;Plcg2;Timp3;Pdgfra;Cd44;Ccne2;Efna4;Dnmt3b;Fzd3;Efna5;Ccnd1;Atm;Shc4;Met;Cdc25a;Rock1;Ccne1;Notch2;Myc;Prkcg;E2f1;Bcl2l11;Mdm4;Sirt1;Marcks;Sos1;Rdx;Ezh2;Mdm2;Sos2;Dicer1;Zeb2;Shc1;Pdcd4;Kras;Nras;Erbb3;Casp3;Pdgfrb;Mmp16;Zeb1;Foxp1;Itga5;Pik3r1;Apc;Ccng1;Mir7-1;Pten;Ep300;Tpm1;Hdac2;E2f3;Crebbp;Hnrnpk;Mapk7;Notch1;Irs1;Vim;Bmf;Reck;Efna3;Sox4;Dnmt1;Gls;Ube2i;E2f2;Hmox1;Fgfr3;Hdac1;Cdc25c;Pik3r3
9	prerank	Homologous recombination	0.6303184851195969	2.1168435182214846	0.0	0.0005052039540158414	0.002	15/38	10.59%	Brip1;Brca1;Eme1;Brca2;Topbp1;Rad54l;Rbbp8;Bard1;Blm;Rad50;Atm;Rad54b;Palb2;Nbn;Rad51
8	prerank	DNA replication	0.6455329005045033	2.1268057671953238	0.0	0.000336802636010561	0.001	25/35	26.97%	Pola1;Pole2;Mcm3;Mcm4;Pole;Rfc1;Mcm5;Dna2;Mcm2;Mcm6;Rnaseh2b;Mcm7;Prim1;Lig1;Pola2;Pcna;Ssbp1;Pold1;Fen1;Rpa3;Rfc3;Rfc5;Pold3;Rfc4;Prim2
4	prerank	Fanconi anemia pathway	0.6240217325791644	2.209353296871561	0.0	1e-300	0.0	22/50	16.63%	Brip1;Fanci;Brca1;Eme1;Brca2;Fancd2;Poln;Hes1;Blm;Fancb;Fanca;Fancm;Rmi2;Palb2;Rmi1;Atr;Usp1;Rad51;Ube2t;Fan1;Polk;Rev1
2	prerank	Cell cycle	0.5953199431375547	2.4638054388772352	0.0	1e-300	0.0	65/119	23.65%	Ccnd2;Bub1;Chek1;Ccnb1;Cdk1;Ttk;Orc1;Ccnb2;Cdc6;Ccna2;Dbf4;Chek2;Wee1;Rbl1;Mcm3;Cdc20;Mcm4;Cdk2;Ccne2;Plk1;Smc1b;Bub1b;Ccnd1;Espl1;Ccna1;Atm;Mcm5;Skp2;Cdc27;Mcm2;Mcm6;Atr;Cdc14b;Tfdp2;Smc3;E2f5;Cdc25a;Ccne1;Myc;Prkdc;E2f1;Smc1a;Mad2l1;Cdc14a;Cdc45;Orc2;Mdm2;Mcm7;Orc4;Cdc7;Stag1;Cdk7;Orc6;Pcna;Stag2;Tfdp1;Cul1;Ep300;Cdk4;Gsk3b;Hdac2;Ywhaz;E2f3;Rb1;Crebbp
