	Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes
0	prerank	Photoreceptor Cells	-0.7971341376883542	-3.379675809363504	0.0	1e-300	0.0	91/139	11.48%	Rcvrn;Nr2e3;Grm6;Pdc;Nrl;Sag;Rho;Vsx2;Gnb3;Rd3l;Cacna2d4;Pde6g;Cabp5;Sebox;Sphkap;Rs1;Cplx3;Pcp2;Cntn4;Gpr179;Lin7a;Vwc2l;Syp;Dusp26;Rom1;Actl6b;Grm5;Tmem130;Trnp1;Hcn1;Gng13;Zdhhc22;Cadm2;Atp1b2;Gria2;Crx;Fam135b;Isl1;Qpct;B3galt2;Mmd2;Ppfia2;Ap3b2;Kcnj9;Prkca;Kcnma1;Neurod4;Syt4;Chga;Atcay;Scrt1;Amph;Gabra1;Pcsk2;Ntng1;Lrtm1;Frmd3;Svop;Strip2;Gabrg2;Snap91;Gria1;Stx3;Celf3;Atp2b3;Scg3;Pcbp3;Amer3;Pcdh15;Rgs8;Slitrk1;Tceal6;Gdap1l1;Kcnc1;Vstm2b;Rab3c;Snap25;Unc79;Sv2b;Adgrb3;Cadps;Cacna2d3;Synpr;Vstm2a;Stmn4;Prox1;Hspa12a;Cntn2;Slc1a2;Srrm4;Slc24a2
1	prerank	Pinealocytes	-0.8239509007088017	-3.163316814810871	0.0	1e-300	0.0	57/79	11.48%	Rcvrn;Grm6;Rbp3;Sag;Rp1l1;Pde6b;Rho;Kcng4;Gngt1;Cacna1f;Pde6h;Pde6c;Cnga1;Pde6a;Rs1;Cngb1;Cabp4;Rd3;Drd4;Aipl1;Cplx4;Samd7;Rom1;Gngt2;Lrit1;Hcn1;Gng13;Rtbdn;Crx;Adrb1;Vsx1;Disp2;Ap3b2;Atcay;Pmepa1;Tph1;Myt1l;Kcnj14;Neurod1;Unc13c;Svop;Amer3;Tmem145;Kcnb1;Strc;Crb1;Plekhd1;Chrnb4;Sv2b;Aanat;Slc7a14;Chrna3;Rnft2;Slc4a5;Rgr;Srrm4;Slc24a2
3	prerank	Taste Receptor Cells	-0.7227140300049986	-2.855037489507618	0.0	1e-300	0.0	56/92	14.13%	Rph3a;Syp;Slc4a10;Slc24a4;Actl6b;Hcn1;Atp1b2;Gria2;Fam135b;Wscd2;Cck;Cabp1;Ap3b2;Kcnj9;Gabra1;Pcsk2;Myt1l;Adcy2;St8sia5;Unc13c;Svop;Celf3;B3gat1;Cyp46a1;Scg3;Rundc3a;Amer3;Sez6;Chrnb2;Kcnb1;Tceal6;Dpp6;Pde1b;St18;Cacnb2;Sv2b;Cpne6;Slc7a14;Cadps;Atp2b2;Synpr;Vstm2a;Stmn4;Unc80;Tas1r3;Prox1;Nr3c1;Cntn2;Slc1a2;Cacng2;Srrm4;Slc24a2;Otud7a;Acsl6;Kcnj6;Kcnh2
4	prerank	GABAergic Neurons	-0.7085978054631692	-2.819504706908551	0.0	1e-300	0.0	55/93	12.59%	Sphkap;Dusp26;Sncb;Actl6b;Igsf21;Grm5;Faim2;Cdk5r2;Cadm2;Gria2;Lgi3;Brinp1;Hpca;Camk2b;Mmd2;Ppfia2;Ntrk2;Ube2ql1;Scrt1;Plppr4;Gabrg2;Tmem59l;Sh3gl2;Snap91;Map6;Celf3;Atp2b3;Syn2;Cadm3;Ly6h;Abcc8;Asic2;Slitrk1;Tceal6;Slc32a1;Kcnc1;Vstm2b;Ptprt;Snap25;Ndrg4;Kctd16;Adgrb3;Gadd45b;Gad1;Synpr;Vstm2a;Stmn4;Sptbn4;Phyhipl;Gabbr2;Crhr1;Rgs7bp;Cntn2;Adgra1;Tmem179
5	prerank	Glycinergic Neurons	-0.7018549181486551	-2.8138600322068936	0.0	1e-300	0.0	66/96	20.11%	Sncb;Fbll1;Actl6b;Grm5;Cspg5;Faim2;Cdk5r2;Ckb;Gria2;Brinp1;Hpca;Mmd2;Aplp1;Scrt1;Pnck;Tagln3;Dner;Abcg4;Srrm3;Tmem59l;Snap91;Map6;Celf3;Stxbp1;Ly6h;Gng3;Grin1;Ppfia3;Syn1;Tmem198;Asic2;Slitrk1;Slc32a1;Kcnc1;Cadm4;Vstm2b;Ngb;Mpp2;Ndrg4;Gad1;Tmem151a;Scamp5;Lingo1;Adgrb2;Crhr1;Cntn2;Adgra1;Rims4;Tmem179;Brsk1;Pianp;Caskin1;Slc6a9;Sptbn2;Ncdn;Bsn;Psd2;Pcdh8;Cnih2;Mapk8ip1;Clip3;Cacng7;Lrrc4b;Ina;Slc8a2;Ttbk1
23	prerank	Cardiac Stem And Precursor Cells	0.5472350900955729	2.2286160279044958	0.0	1e-300	0.0	65/100	27.57%	Ednra;Nes;Fzd7;Gli2;Lrig3;Fign;Rbfox2;Flnc;Tead1;Yap1;Nr2f2;Ttc23;Tead4;Rai14;Pls3;Bmp4;Fat1;Fstl1;Prrg1;Kit;Ccnd1;Myo1b;Lamb2;Uaca;Plod2;Lamb1;Scara3;Kif7;Chst3;Gpx8;Fkbp10;Tjp1;Tspan12;Aadat;Sh3d19;Fkbp9;Enah;Ppic;Rhbdf1;Gng12;Nuak1;Mpdz;Smarca1;Nckap1;Wwtr1;Fut4;Ptprg;Ptprf;Cdr2l;Tspan6;Tenm3;Smad6;Syde1;Rnd3;Dock1;Tbx3;Adamts15;Frmd6;Adgrl2;Antxr1;Wnt5a;Fermt2;Amotl2;Lamc1;Pkdcc
20	prerank	Gamma Delta T Cells	0.7366880652787876	2.3593658335516827	0.0	1e-300	0.0	14/28	5.84%	Mki67;Cenpf;Aspm;Aurkb;Top2a;Ifitm1;Ccnb1;Nusap1;Ube2c;Birc5;Troap;Hmgb2;Cenpa;Ubash3a
19	prerank	Embryonic Stem Cells	0.5564750583364912	2.3928684502568243	0.0	1e-300	0.0	100/147	29.16%	Hmga2;Sfrp1;Sall4;Gja1;Zscan10;Sox2;Trim6;Lef1;Nes;Ajuba;Fzd7;Tead2;Ptpn14;Dsp;Ephb4;Gli2;Rbpms;Prtg;Lrig3;Rbfox2;Erbb2;Itga6;Tead1;Yap1;Fnbp1l;Fbln1;Tead4;Rai14;Ror1;Hes1;Dnmt3b;Pls3;Fat1;Fstl1;Mdfi;Pawr;Kit;Myo1b;Uaca;Nr6a1;Yes1;Itgb1;Fzd1;Lamb1;Gjc1;Dsg2;Myc;Gpx8;Fkbp10;Tjp1;Arhgap42;Cd9;Sh3d19;Lrp6;Fzd5;Dcbld2;Kcnip3;Il17rd;Fblim1;Nav2;Fras1;Enah;Zfx;Gng12;Gulp1;Prdm5;Smarca1;Sh3bp4;Nckap1;Pum2;Fut4;Ptprg;Ptprf;Col4a5;Pard3;Shroom3;Tspan6;Tenm3;Col4a6;Rnd3;Dock1;Smad5;Ptk7;Adgra3;Adgrl2;Antxr1;Fermt2;Sumo2;Ctnna1;Wwc2;Ptk2;Amotl2;Lamc1;Myo10;Pml;Cdk8;Serpinh1;Smad1;Smad4;Ctnnd1
13	prerank	Osteocytes	0.6314671681545193	2.540617324610724	0.0	1e-300	0.0	57/91	22.15%	Sfrp1;Gja1;Gli3;Ednra;Tmem47;Nes;Fzd7;Ptpn14;Gfpt2;Has2;Mdk;Notch3;Gli2;Ptn;Fst;Adamts12;Flnc;Vegfc;Yap1;Adamts7;Ccdc8;Efnb2;Rai14;Ror1;Tcf7l1;Pls3;Fstl1;Pcdh18;Col1a1;Mdfi;Cald1;Efna5;Pxdn;P3h2;Axl;Chst3;Gpx8;Fbxl7;Csrp2;Rab13;Il17rd;Pdlim4;Fblim1;Stc1;Enah;Ppic;Gng12;Cdh11;Wwtr1;Pdpn;Gpr161;Cdr2l;Cttnbp2nl;Tpm1;Tenm3;Col4a6;Syde1
2	prerank	Pluripotent Stem Cells	0.7489973416520451	3.038203725335206	0.0	1e-300	0.0	74/93	18.75%	Lin28b;Bub1;Cenpf;Ndc80;Sall4;Trim71;Depdc1b;Zscan10;Sox2;Chek1;Mcm10;Sgo1;Kntc1;Hells;Kif11;Orc1;Fbxo5;Fanci;Ticrr;Cdc6;Aunip;Lin28a;Cdca7;Pif1;Plk4;Ccna2;Cenph;Ercc6l;Chek2;Mcm3;Zgrf1;Fancd2;Atad5;Mcm4;Wdhd1;Dnmt3b;Blm;Npm1;Ncl;Bub1b;Nasp;Ccnf;Nr6a1;Dna2;Smarcc1;Terf1;Hnrnpu;Gins1;E2f5;Set;Phf6;Ppat;Bend3;Mcm8;Hes3;Psip1;Mad2l1;Slc7a3;Hnrnpa1;Ttf2;Chaf1a;Zic3;Tert;Pfas;Nap1l1;Suv39h2;Cbx2;Zfx;Msh6;Rcc2;Cdc7;Gmps;Srsf1;Fubp1
